S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Strength,Acceptance Value,CU Ave. (%LC),CU %RSD,Ave. Disso @30 (%),Disso Min (%),Disso. Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,UNIT 07,UNIT 08,UNIT 09,UNIT10,UNIT 11,UNIT 12,Assay (%LC),Assay/Strength * 100,Ind. Imp (%),Tot. Imp. (%),Physical Imperfections (Defects),,,,,Tot. Aerobic Ct. (TAMC),Tot. Yeast/Molds Ct. (TYMC),E. Coli,Salmonella,Enterobac.
19,2C6016P-MICRO-0058039,2C6016P,,1136209,0.5,2.9,100,1.2,100,96,S1,96,101,99,102,102,100,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
20,2C6017P-MICRO-0058044,2C6017P,,1136209,0.5,3,98.6,1.2,99,96,S1,96,98,101,100,98,100,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
21,2C6018P-MICRO-0058049,2C6018P,,1136209,0.5,2.3,99.1,1,101,97,S1,97,101,102,100,102,101,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<10,ABSENT_1G,ABSENT_10G,<10
22,2C6019P-MICRO-0058054,2C6019P,,1136209,0.5,3.4,98.8,1.4,100,96,S1,99,96,98,101,102,101,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
23,2C6020P-MICRO-0058059,2C6020P,,1136209,0.5,2.2,99,0.9,101,96,S1,96,101,102,102,103,103,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
24,2C6021P-MICRO-0058064,2C6021P,,1136209,0.5,3,99.6,1.2,100,98,S1,100,100,101,101,98,101,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
25,2C6022P-MICRO-0058069,2C6022P,,1136209,0.5,1.3,100.2,0.5,101,100,S1,101,100,102,102,100,101,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
26,2C6023P-MICRO-0058074,2C6023P,,1136209,0.5,2.2,99.1,0.9,99,98,S1,99,98,99,100,99,99,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
27,2C6024P-MICRO-0058079,2C6024P,,1136209,0.5,3.5,98.9,1.5,99,96,S1,99,98,101,100,100,96,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
28,2C6025P-MICRO-0058084,2C6025P,,1136209,0.5,3.7,98.7,1.6,100,97,S1,97,99,99,101,100,101,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
29,2D6001P-MICRO-0061948,2D6001P,,1136209,0.5,2.6,98.8,1.1,96,91,S1,91,98,98,96,99,96,,,,,,,0.49,98,<0.10,<0.10,0,0,0,1,1,<10,<10,ABSENT_1G,ABSENT_10G,<10
30,2D6002P-MICRO-0061953,2D6002P,,1136209,0.5,3.4,98.8,1.4,98,91,S1,91,100,97,100,98,99,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
31,2D6003P-MICRO-0061958,2D6003P,,1136209,0.5,4.2,99.7,1.7,96,89,S2,89,97,98,99,97,98,95,95,97,97,98,96,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
32,2D6004P-MICRO-0061963,2D6004P,,1136209,0.5,3.3,98.6,1.4,97,95,S1,95,96,98,97,96,97,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
33,2D6005P-MICRO-0061968,2D6005P,,1136209,0.5,2.8,98.6,1.2,96,91,S1,91,97,97,97,97,95,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
34,2D6006P-MICRO-0061973,2D6006P,,1136209,0.5,4.8,97.3,1.5,97,92,S1,92,98,97,99,98,96,,,,,,,0.491,98.2,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
35,2E6011P-MICRO-0065607,2E6011P,,1136209,0.5,3.8,99.2,1.6,99,95,S1,95,101,99,99,98,100,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
36,2E6012P-MICRO-0065612,2E6012P,,1136209,0.5,3.6,99.4,1.5,98,95,S1,95,97,99,100,98,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
37,2E6013P-MICRO-0065617,2E6013P,,1136209,0.5,2.9,98.7,1.2,99,98,S1,98,100,98,101,100,98,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
38,2E6014P-MICRO-0065622,2E6014P,,1136209,0.5,2.8,98.4,1.1,100,98,S1,99,98,100,100,101,100,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
39,2E6015P-MICRO-0065627,2E6015P,,1136209,0.5,3.2,97.5,0.9,99,98,S1,98,100,100,99,98,98,,,,,,,0.486,97.2,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
40,2E6016P-MICRO-0065632,2E6016P,,1136209,0.5,3.4,97,0.8,98,93,S1,93,98,98,99,97,101,,,,,,,0.486,97.2,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
41,2E6017P-MICRO-0065638,2E6017P,,1136209,0.5,2.8,97.7,0.8,97,88,S2,88,99,99,99,99,97,93,99,100,98,99,98,0.486,97.2,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
42,2E6018P-MICRO-0065643,2E6018P,,1136209,0.5,2.8,100.5,1.2,98,92,S1,92,97,98,102,100,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
43,2F6001P-MICRO-0068604,2F6001P,,1136209,0.5,3.1,99.8,1.3,99,94,S1,94,102,100,97,100,100,,,,,,,0.495,99,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
44,2F6002P-MICRO-0068609,2F6002P,,1136209,0.5,2,100.5,0.8,100,98,S1,98,100,100,101,99,101,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
45,2F6003P-MICRO-0068614,2F6003P,,1136209,0.5,3.7,99.1,1.6,97,94,S1,95,98,100,94,94,98,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
46,2F6004P-MICRO-0068619,2F6004P,,1136209,0.5,2.5,100.3,1.1,99,97,S1,97,98,102,99,99,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
47,2F6005P-MICRO-0068624,2F6005P,,1136209,0.5,2.5,98.9,1.1,100,94,S1,94,102,100,104,100,101,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
48,2F6006P-MICRO-0068629,2F6006P,,1136209,0.5,2.6,99.8,1.1,99,91,S1,91,100,98,104,100,99,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
49,2F6007P-MICRO-0068634,2F6007P,,1136209,0.5,3.8,99.6,1.6,99,96,S1,96,99,101,100,99,96,,,,,,,0.494,98.8,<0.10,<0.10,0,0,1,1,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
50,2G6056P-MICRO-0074217,2G6056P,,1136209,0.5,3.2,98.1,1.2,97,94,S1,97,99,99,97,94,97,,,,,,,0.49,98,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
51,2G6057P-MICRO-0074222,2G6057P,,1136209,0.5,2.8,99.6,1.2,99,95,S1,95,98,101,101,101,97,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
52,2G6052P-MICRO-0074245,2G6052P,,1136209,0.5,4.4,99.2,1.8,99,98,S1,98,98,101,102,98,99,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
53,2G6053P-MICRO-0074253,2G6053P,,1136209,0.5,1.6,99.4,0.7,99,89,S2,92,97,89,99,97,100,101,102,102,101,104,104,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
54,2G6054P-MICRO-0074262,2G6054P,,1136209,0.5,3.2,98.4,1.3,99,94,S1,94,96,99,101,101,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
55,2G6055P-MICRO-0074315,2G6055P,,1136209,0.5,2.8,98.9,1.2,100,99,S1,101,99,100,102,101,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
56,2G6095P-MICRO-0076080,2G6095P,,1136209,0.5,2.7,99.6,1.1,100,99,S1,99,99,99,102,101,101,,,,,,,0.49,98,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
57,2G6096P-MICRO-0076085,2G6096P,,1136209,0.5,3.2,99.9,1.4,102,99,S1,99,102,102,101,100,105,,,,,,,0.5,100,<0.10,<0.10,0,0,1,1,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
58,2K6025P-MICRO-0086367,2K6025P,,1136209,0.5,2.5,98.8,1,100,97,S1,100,102,97,98,100,100,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
59,2K6026P-MICRO-0086374,2K6026P,,1136209,0.5,2.6,99,1.1,100,99,S1,99,99,101,99,100,99,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
60,2K6027P-MICRO-0086381,2K6027P,,1136209,0.5,3.9,97.7,1.3,98,97,S1,97,99,99,97,98,100,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
61,2K6029P-MICRO-0086395,2K6029P,,1136209,0.5,3.5,98.5,1.4,100,98,S1,101,99,100,99,102,98,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
62,2K6030P-MICRO-0086402,2K6030P,,1136209,0.5,4.5,98.5,1.9,99,97,S1,101,98,97,99,98,101,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
63,2K6046P-MICRO-0088856,2K6046P,,1136209,0.5,3.7,96.8,0.8,99,96,S1,101,99,98,99,96,99,,,,,,,0.48,96,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
64,2L6008P-MICRO-0089005,2L6008P,,1136209,0.5,2,98.3,0.8,101,99,S1,102,99,100,101,100,101,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
65,2L6005P-MICRO-0089036,2L6005P,,1136209,0.5,2.4,98.6,1,100,97,S1,97,102,99,101,100,100,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
66,2L6013P-MICRO-0089209,2L6013P,,1136209,0.5,4,99.1,1.7,102,100,S1,100,102,103,101,102,101,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
67,2M6026P-MICRO-0092718,2M6026P,,1136209,0.5,2.4,100.4,1,99,95,S1,101,95,101,98,99,100,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
68,2M6027P-MICRO-0092723,2M6027P,,1136209,0.5,2.8,98.9,1.2,100,98,S1,99,100,101,98,99,100,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
69,2M6028P-MICRO-0092728,2M6028P,,1136209,0.5,3.9,99.9,1.6,100,94,S1,98,102,99,101,103,94,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
70,2M6023P-MICRO-0092833,2M6023P,,1136209,0.5,1.9,99.7,0.8,100,99,S1,101,100,99,100,99,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
71,2M6024P-MICRO-0092842,2M6024P,,1136209,0.5,4.6,98.3,1.8,98,95,S1,99,95,99,96,98,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
72,2M6025P-MICRO-0092851,2M6025P,,1136209,0.5,3.4,100,1.4,99,97,S1,97,100,98,97,102,101,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
73,2M6001P-MICRO-0093710,2M6001P,,1136209,0.5,3.2,99.5,1.3,101,99,S1,104,100,100,99,99,102,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
74,2M6002P-MICRO-0093715,2M6002P,,1136209,0.5,2.9,99.4,1.2,97,91,S1,91,96,99,99,98,98,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
75,2M6003P-MICRO-0093720,2M6003P,,1136209,0.5,3.4,98.5,1.4,100,97,S1,102,100,98,100,103,97,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
76,2M6004P-MICRO-0093725,2M6004P,,1136209,0.5,3.4,99.2,1.4,100,99,S1,101,100,99,99,99,99,,,,,,,0.5,100,<0.10,<0.10,0,1,1,0,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
77,2M6006P-MICRO-0093730,2M6006P,,1136209,0.5,3.4,99.7,1.4,99,98,S1,99,99,98,99,102,99,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
78,2M6007P-MICRO-0093735,2M6007P,,1136209,0.5,1.8,99.4,0.7,100,98,S1,98,101,101,100,99,101,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
79,2M6005P-MICRO-0093750,2M6005P,,1136209,0.5,3.3,98.9,1.4,101,98,S1,100,102,102,100,98,101,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
80,2M6008P-MICRO-0093755,2M6008P,,1136209,0.5,2.8,99.1,1.2,99,98,S1,98,99,100,99,100,99,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
81,3A6019P-MICRO-0095792,3A6019P,1/1/2013,1136209,0.5,2.8,99.3,1.2,99,97,S1,97,98,101,98,100,101,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
82,3A6020P-MICRO-0095779,3A6020P,1/2/2013,1136209,0.5,2,98.9,0.8,98,92,S1,92,100,100,100,97,100,,,,,,,0.49,98,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
83,3A6001P-MICRO-0095235,3A6001P,1/4/2013,1136209,0.5,3,99.6,1.3,100,97,S1,101,101,97,101,98,100,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
84,3A6002P-MICRO-0094746,3A6002P,1/5/2013,1136209,0.5,3.1,99.8,1.3,98,95,S1,98,98,100,99,95,100,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
85,3A6003P-MICRO-0094751,3A6003P,1/6/2013,1136209,0.5,3.4,98.2,1.3,97,92,S1,92,97,101,98,99,96,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
86,3A6004P-MICRO-0094756,3A6004P,1/7/2013,1136209,0.5,3.7,99.3,1.6,98,93,S1,93,99,100,98,98,101,,,,,,,0.498,99.6,<0.10,<0.10,0,0,1,0,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
87,3A6005P-MICRO-0094761,3A6005P,1/8/2013,1136209,0.5,3.2,99.9,1.3,97,91,S1,91,97,99,98,96,101,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,10,<5,ABSENT_1G,ABSENT_10G,<10
88,3A6006P-MICRO-0094766,3A6006P,1/9/2013,1136209,0.5,3.2,100.4,1.3,99,93,S1,93,99,100,100,98,102,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
89,3A6007P-MICRO-0095225,3A6007P,1/10/2013,1136209,0.5,3.4,99.2,1.4,98,94,S1,94,99,99,100,94,100,,,,,,,0.499,99.8,<0.10,<0.10,0,0,1,2,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
90,3A6008P-MICRO-0095240,3A6008P,1/11/2013,1136209,0.5,2.9,99.4,1.2,100,94,S1,94,100,101,101,101,101,,,,,,,0.495,99,<0.10,<0.10,0,0,1,1,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
91,3A6009P-MICRO-0095245,3A6009P,1/21/2013,1136209,0.5,1.7,100.6,0.7,100,95,S1,95,99,102,102,99,102,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
92,3A6010P-MICRO-0095250,3A6010P,1/22/2013,1136209,0.5,3.1,99,1.3,99,94,S1,94,100,97,99,102,100,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
93,3A6011P-MICRO-0095255,3A6011P,1/23/2013,1136209,0.5,4.3,99.2,1.8,98,95,S1,95,99,100,100,98,98,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
94,3A6012P-MICRO-0097004,3A6012P,1/24/2013,1136209,0.5,3.6,98.1,1.4,97,90,S1,90,97,98,98,99,97,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
95,3B6022P-MICRO-0099865,3B6022P,2/17/2013,1136209,0.5,2.3,99.3,0.9,100,97,S1,98,101,102,100,99,97,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
96,3B6023P-MICRO-0099870,3B6023P,2/18/2013,1136209,0.5,2.1,99.3,0.9,100,98,S1,98,100,98,98,101,102,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
97,3B6024P-MICRO-0099875,3B6024P,2/19/2013,1136209,0.5,2,99.1,0.8,99,97,S1,99,99,100,100,97,99,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
98,3B6025P-MICRO-0099880,3B6025P,2/20/2013,1136209,0.5,1.9,99.2,0.8,98,97,S1,99,99,98,97,99,98,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
99,3B6026P-MICRO-0099885,3B6026P,2/21/2013,1136209,0.5,2,99.1,0.9,99,95,S1,98,95,100,99,101,98,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
100,3B6027P-MICRO-0099890,3B6027P,2/23/2013,1136209,0.5,2.9,99.8,1.2,99,98,S1,99,101,99,98,100,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
101,3B6028P-MICRO-0099895,3B6028P,2/24/2013,1136209,0.5,2.1,99.4,0.9,99,96,S1,100,99,98,96,100,100,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
102,3B6029P-MICRO-0099900,3B6029P,2/25/2013,1136209,0.5,1.9,99.3,0.8,99,98,S1,98,101,100,99,99,98,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
103,3B6030P-MICRO-0099905,3B6030P,2/26/2013,1136209,0.5,3.2,98.7,1.3,99,98,S1,98,98,101,100,99,100,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
104,3B6031P-MICRO-0099910,3B6031P,2/28/2013,1136209,0.5,2.4,99.6,1,100,98,S1,101,100,99,100,98,99,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
105,3B6032P-MICRO-0099915,3B6032P,3/1/2013,1136209,0.5,4.5,98.5,1.9,99,96,S1,101,99,98,98,99,96,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
106,3C6001P-MICRO-0101504,3C6001P,3/2/2013,1136209,0.5,2.8,98.6,1.2,98,97,S1,100,97,98,98,98,98,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
